InvoiceDate,InvoiceNumber,SalesRepNumber,CustomerNumber,ProductRevenue,ServiceRevenue,ProductCost
6/10/2014,123813,S82,C8754,716100,12000,423986
6/10/2014,123814,,C4894,224200,0,131243
6/10/2014,123815,S43,C7278,277000,0,139208
6/10/2014,123816,S54,C6425,746100,15000,350683
6/10/2014,123817,S43,C6291,928300,0,488988
6/10/2014,123818,S43,C1000,723200,0,383069
6/10/2014,123819,S82,C6025,982600,0,544025
6/10/2014,123820,S17,C8026,490100,45000,243808
6/10/2014,123821,S43,C4244,615800,0,300579
6/10/2014,123822,S45,C1007,271300,0,153253
6/10/2014,123823,S87,C1878,338100,0,165666
6/10/2014,123824,S43,C3068,567900,0,265775
6/10/2014,123825,S43,C7571,123456,0,55555
6/10/2014,123826,S55,C7181,37900,0,19811
6/10/2014,123827,S43,C7570,582700,0,292000
6/10/2014,123828,S87,C5302,495000,0,241504
6/10/2014,123828,S87,C5302,495000,0,241504
